TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,WETH/PEPE,AMOUNT
2024-02-01 00:00:00,3.978583927781521e-10,3.978583928e-10,3.978583928e-10,3.978583927781521e-10,68084433.8420886,3.990583e-10,1528932945042.8105
2024-02-01 00:06:00,3.9784068391746997e-10,3.978406839e-10,3.970205253e-10,3.970205252596104e-10,41094035268.9236,3.982163e-10,1539332779101.488
2024-02-01 00:07:00,3.9941430293659126e-10,3.997211588e-10,3.994143029e-10,3.997211588049225e-10,7569846949.99703,3.98218e-10,1531762932151.491
2024-02-01 00:12:00,3.9760056666853247e-10,3.976005667e-10,3.976005667e-10,3.9760056666853247e-10,723197860.397925,3.988261e-10,1532486130011.889
2024-02-01 00:15:00,3.9756377026910694e-10,4.003369381e-10,3.975637703e-10,4.0033693811774364e-10,20412255739.175,3.987523e-10,1523206336685.708
2024-02-01 00:17:00,4.0103124395061936e-10,4.01031244e-10,4.01031244e-10,4.0103124395061936e-10,7943783742.58,3.995192e-10,1520216211076.0227
2024-02-01 00:19:00,4.018264278993681e-10,4.018264279e-10,4.018264279e-10,4.018264278993681e-10,12405991654.0737,4.001372e-10,1507810219421.9492
2024-02-01 00:20:00,4.0247734791309846e-10,4.024773479e-10,4.024773479e-10,4.0247734791309846e-10,4212097069.13347,4.011052e-10,1503598122352.8157
2024-02-01 00:21:00,4.0274007867283254e-10,4.027400787e-10,4.027400787e-10,4.0274007867283254e-10,2482991023.1317,4.014346e-10,1501115131329.684
2024-02-01 00:27:00,4.0040783281777506e-10,4.004078328e-10,4.004078328e-10,4.0040783281777506e-10,420000000.690002,4.01629e-10,1496131407756.0603
2024-02-01 00:33:00,3.9994059490259274e-10,3.999405949e-10,3.999405949e-10,3.9994059490259274e-10,11598056667.617,4.015962e-10,1507729464423.6772
2024-02-01 00:36:00,4.0190438885915797e-10,4.019043889e-10,4.019043889e-10,4.0190438885915797e-10,163669231.953519,4.006922e-10,1507565795191.7239
2024-02-01 00:39:00,3.9948012533488137e-10,3.994801253e-10,3.994801253e-10,3.9948012533488137e-10,588374524.989891,4.00705e-10,1508154169716.7136
2024-02-01 00:42:00,4.018682853758793e-10,4.018682854e-10,4.018682854e-10,4.018682853758793e-10,87093212.5615821,4.006592e-10,1508067076504.152
2024-02-01 00:45:00,3.9945641709536387e-10,3.994564171e-10,3.994564171e-10,3.9945641709536387e-10,197590969.433902,4.00666e-10,1508264667473.586
